stu_no,q1_accuracy,q1_score_pct,q1_avg_time_sec,q1_easy_accuracy,q1_medium_accuracy,q1_hard_accuracy,q1_slow_wrong_ratio,q1_fast_wrong_ratio,q1_num_topics_below_50pct,q1_weakest_topic_score,q1_topic_Algorithm_Design,q1_topic_Arrays,q1_topic_Code_Tracing,q1_topic_Conditional_Statements,q1_topic_Data_Types,q1_topic_Debugging,q1_topic_Expressions,q1_topic_Flowcharts_and_Algorithms,q1_topic_Functions,q1_topic_Input_and_Output,q1_topic_Loops,q1_topic_Nested_Loops,q1_topic_Operators,q1_topic_Strings,q1_topic_Variables_and_Identifiers,final_mark,final_grade,passed,risk_label
STU0001,0.9333,93.33,38.4,1.0,0.8333,1.0,0.0333,0.0,0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,90,A+,1,Low
STU0002,0.6333,63.33,44.57,0.7,0.5833,0.625,0.2667,0.0,3,0.0,1.0,0.3333,0.5,0.5,1.0,0.5,0.0,1.0,0.3333,1.0,0.6667,0.5,0.5,1.0,1.0,57,C+,1,Medium
STU0003,0.5667,56.67,46.47,0.6,0.5833,0.5,0.2333,0.0,5,0.0,0.0,0.3333,1.0,0.5,0.5,1.0,1.0,1.0,0.3333,1.0,0.6667,0.5,0.0,1.0,0.0,51,C,1,Medium
STU0004,0.8333,83.33,42.9,0.9,0.9167,0.625,0.1667,0.0,1,0.3333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6667,0.5,1.0,0.3333,0.5,80,A,1,Low
STU0005,0.3,30.0,62.03,0.4,0.4167,0.0,0.3333,0.0,9,0.0,0.0,0.3333,0.0,0.0,1.0,0.0,1.0,0.0,0.3333,1.0,0.0,0.5,0.5,0.0,0.5,44,D+,0,High
STU0006,0.8667,86.67,41.93,1.0,0.8333,0.75,0.0667,0.0,1,0.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.5,1.0,0.6667,1.0,78,A-,1,Low
STU0007,0.9333,93.33,35.37,1.0,1.0,0.75,0.0667,0.0,1,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,88,A+,1,Low
STU0008,0.3667,36.67,54.73,0.8,0.25,0.0,0.4667,0.0,8,0.0,0.0,0.3333,0.0,1.0,0.5,0.5,0.0,0.0,0.3333,1.0,0.6667,0.0,0.5,0.0,0.5,41,D+,0,High
STU0009,0.4667,46.67,49.3,0.7,0.4167,0.25,0.3333,0.0,7,0.0,0.0,0.3333,0.5,0.5,1.0,1.0,0.0,0.0,0.6667,1.0,0.6667,0.0,0.0,0.0,1.0,42,D+,0,High
STU0010,0.9,90.0,37.77,0.9,0.9167,0.875,0.0667,0.0,0,0.5,1.0,1.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,81,A,1,Low
STU0011,0.3,30.0,49.17,0.5,0.3333,0.0,0.3667,0.0,9,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,1.0,0.3333,0.5,0.5,0.0,1.0,44,D+,0,High
STU0012,0.4,40.0,57.0,0.5,0.4167,0.25,0.4,0.0,7,0.0,0.0,0.0,0.5,0.5,1.0,0.0,1.0,0.0,0.6667,0.0,0.3333,0.0,0.5,0.6667,0.5,50,C,1,Medium
STU0013,0.6,60.0,41.87,0.6,0.6667,0.5,0.2667,0.0,6,0.0,0.0,0.3333,0.5,1.0,0.0,0.5,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.3333,0.5,47,C-,0,High
STU0014,0.5,50.0,45.47,0.6,0.5833,0.25,0.3333,0.0,5,0.0,0.0,0.3333,0.5,0.5,1.0,0.5,1.0,1.0,0.6667,1.0,0.0,0.0,0.5,0.3333,1.0,46,C-,0,High
STU0015,0.6,60.0,44.13,0.9,0.4167,0.5,0.2667,0.0,3,0.0,1.0,0.6667,0.0,1.0,0.5,0.0,1.0,1.0,0.3333,1.0,0.6667,0.5,0.5,0.6667,1.0,53,C,1,Medium
STU0016,0.6667,66.67,44.73,0.6,0.8333,0.5,0.1667,0.0,3,0.0,0.0,0.3333,0.5,1.0,0.5,0.5,1.0,1.0,0.6667,0.0,0.6667,1.0,0.5,1.0,1.0,65,B,1,Low
STU0017,0.9,90.0,38.57,1.0,0.9167,0.75,0.1,0.0,2,0.0,0.0,0.3333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,87,A+,1,Low
STU0018,0.3,30.0,63.23,0.5,0.3333,0.0,0.4333,0.0,9,0.0,0.0,0.0,0.5,0.5,0.0,0.0,1.0,0.0,0.3333,1.0,0.3333,0.0,0.5,0.6667,0.0,39,D,0,High
STU0019,0.2667,26.67,58.47,0.4,0.3333,0.0,0.3667,0.0,9,0.0,0.0,0.0,0.5,0.5,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.3333,0.5,30,E,0,High
STU0020,0.7,70.0,43.0,1.0,0.75,0.25,0.2333,0.0,1,0.0,0.0,0.6667,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.6667,0.5,57,C+,1,Medium
STU0021,0.6333,63.33,41.23,0.5,0.8333,0.5,0.2,0.0333,3,0.0,0.0,0.6667,0.0,0.5,0.5,0.0,1.0,1.0,0.6667,1.0,1.0,1.0,0.5,0.6667,1.0,60,B-,1,Medium
STU0022,0.8,80.0,43.2,0.9,0.75,0.75,0.1333,0.0,0,0.5,1.0,0.6667,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.6667,1.0,1.0,0.6667,0.5,86,A+,1,Low
STU0023,0.7667,76.67,39.6,0.9,0.75,0.625,0.2,0.0,0,0.5,1.0,0.6667,0.5,1.0,1.0,0.5,1.0,1.0,0.6667,1.0,1.0,0.5,1.0,0.6667,0.5,66,B,1,Low
STU0024,0.6,60.0,40.53,0.8,0.5833,0.375,0.3,0.0,4,0.0,0.0,0.6667,0.5,0.5,1.0,1.0,1.0,0.0,0.6667,0.0,0.6667,0.5,0.5,0.3333,1.0,52,C,1,Medium
STU0025,0.9,90.0,38.47,1.0,1.0,0.625,0.1,0.0,0,0.5,1.0,1.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6667,1.0,76,A-,1,Low
STU0026,0.2667,26.67,64.43,0.2,0.5,0.0,0.4333,0.0,10,0.0,0.0,0.0,0.5,1.0,0.0,0.5,1.0,0.0,0.0,0.0,0.3333,0.0,0.5,0.3333,0.0,34,E,0,High
STU0027,0.7,70.0,41.67,1.0,0.5,0.625,0.2667,0.0,1,0.0,1.0,0.6667,0.5,1.0,0.5,0.5,1.0,1.0,0.6667,1.0,1.0,0.0,0.5,0.6667,1.0,63,B-,1,Medium
STU0028,0.5,50.0,38.3,0.5,0.6667,0.25,0.2667,0.0,6,0.0,0.0,0.6667,0.5,1.0,0.5,1.0,0.0,1.0,0.3333,0.0,0.3333,0.5,0.5,0.0,1.0,53,C,1,Medium
STU0029,0.6333,63.33,40.07,0.8,0.5,0.625,0.3,0.0,4,0.0,1.0,1.0,0.5,0.5,1.0,0.5,0.0,0.0,0.6667,1.0,1.0,0.0,0.5,0.3333,1.0,60,B-,1,Medium
STU0030,0.8667,86.67,38.67,0.7,1.0,0.875,0.0333,0.0,0,0.5,1.0,0.6667,1.0,1.0,1.0,1.0,1.0,1.0,0.6667,1.0,1.0,0.5,1.0,0.6667,1.0,85,A+,1,Low
STU0031,0.3667,36.67,64.93,0.7,0.3333,0.0,0.4333,0.0,9,0.0,0.0,0.3333,0.5,1.0,1.0,0.0,1.0,0.0,0.3333,1.0,0.3333,0.0,0.5,0.0,0.0,44,D+,0,High
STU0032,0.5333,53.33,45.63,0.7,0.5833,0.25,0.2667,0.0,4,0.0,1.0,0.6667,0.5,0.5,0.5,0.5,0.0,0.0,0.3333,1.0,1.0,0.5,1.0,0.0,0.5,64,B-,1,Medium
STU0033,0.7667,76.67,40.93,0.9,0.8333,0.5,0.1667,0.0,1,0.3333,1.0,0.6667,0.5,1.0,1.0,0.5,1.0,1.0,0.3333,1.0,0.6667,1.0,1.0,0.6667,1.0,74,B+,1,Low
STU0034,0.5,50.0,44.0,0.7,0.5833,0.125,0.3667,0.0333,7,0.0,0.0,0.3333,0.5,1.0,1.0,0.0,0.0,0.0,0.6667,1.0,0.0,0.0,0.5,1.0,1.0,49,C-,0,High
STU0035,0.1667,16.67,60.87,0.3,0.0833,0.125,0.4667,0.0,13,0.0,0.0,0.3333,0.0,0.0,0.0,0.0,1.0,0.0,0.3333,0.0,0.0,0.5,0.0,0.3333,0.0,37,D,0,High
STU0036,0.7667,76.67,40.07,0.9,0.8333,0.5,0.1667,0.0,1,0.0,0.0,0.6667,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.6667,0.5,0.5,0.6667,1.0,67,B,1,Low
STU0037,0.8,80.0,40.8,1.0,0.75,0.625,0.1667,0.0,1,0.3333,1.0,0.6667,1.0,0.5,1.0,1.0,1.0,1.0,0.6667,1.0,0.3333,1.0,0.5,1.0,1.0,73,B+,1,Low
STU0038,0.8,80.0,40.2,0.9,0.75,0.75,0.1667,0.0,0,0.5,1.0,1.0,0.5,0.5,0.5,1.0,1.0,1.0,0.6667,1.0,1.0,0.5,1.0,0.6667,1.0,61,B-,1,Medium
STU0039,0.6667,66.67,42.23,0.8,0.5833,0.625,0.2667,0.0,5,0.0,0.0,1.0,0.0,0.5,1.0,1.0,0.0,1.0,0.3333,0.0,1.0,1.0,0.5,1.0,0.5,70,B+,1,Low
STU0040,0.3667,36.67,46.0,0.5,0.0833,0.625,0.2333,0.0,7,0.0,1.0,0.3333,0.5,0.0,1.0,0.5,1.0,0.0,0.0,1.0,0.0,0.5,0.5,0.3333,0.0,47,C-,0,High
STU0041,0.5,50.0,54.33,0.7,0.4167,0.375,0.3333,0.0,6,0.0,1.0,0.6667,0.0,0.0,1.0,1.0,1.0,1.0,0.3333,1.0,0.3333,0.0,0.5,0.3333,0.5,61,B-,1,Medium
STU0042,0.8667,86.67,43.43,1.0,0.8333,0.75,0.1333,0.0,2,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333,0.0,1.0,1.0,1.0,86,A+,1,Low
STU0043,0.8333,83.33,38.03,1.0,0.8333,0.625,0.1333,0.0,0,0.5,1.0,1.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.6667,0.5,1.0,0.6667,1.0,91,A+,1,Low
STU0044,0.4667,46.67,58.7,0.4,0.5833,0.375,0.3333,0.0,7,0.0,0.0,0.3333,1.0,1.0,0.0,0.5,1.0,0.0,0.3333,1.0,0.3333,0.5,0.5,0.6667,0.0,49,C-,0,High
STU0045,0.8,80.0,40.4,0.9,0.8333,0.625,0.1333,0.0,0,0.5,1.0,1.0,0.5,1.0,0.5,0.5,1.0,1.0,0.6667,1.0,0.6667,0.5,1.0,1.0,1.0,77,A-,1,Low
STU0046,0.8667,86.67,37.1,1.0,0.8333,0.75,0.1,0.0,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.6667,1.0,75,A-,1,Low
STU0047,0.8333,83.33,38.37,0.8,0.9167,0.75,0.1,0.0,1,0.3333,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.6667,1.0,0.3333,1.0,1.0,1.0,0.5,73,B+,1,Low
STU0048,0.5667,56.67,45.63,0.6,0.5833,0.5,0.2333,0.0,5,0.0,1.0,1.0,0.5,1.0,1.0,0.5,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.3333,0.5,67,B,1,Low
STU0049,0.3,30.0,66.57,0.8,0.0833,0.0,0.4667,0.0,10,0.0,0.0,0.3333,0.0,0.5,0.5,0.0,0.0,0.0,0.3333,0.0,0.3333,0.5,0.5,0.3333,0.5,49,C-,0,High
STU0050,0.5667,56.67,43.63,0.8,0.5833,0.25,0.3333,0.0,4,0.0,0.0,0.6667,0.0,1.0,0.5,0.0,1.0,1.0,0.6667,1.0,0.0,0.5,1.0,1.0,0.5,46,C-,0,High
STU0051,0.2667,26.67,58.1,0.4,0.25,0.125,0.4333,0.0,11,0.0,1.0,0.3333,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.3333,0.0,51,C,1,Medium
STU0052,0.8,80.0,41.77,0.8,0.8333,0.75,0.1333,0.0,0,0.5,1.0,0.6667,1.0,1.0,0.5,0.5,1.0,1.0,0.6667,1.0,0.6667,1.0,0.5,1.0,1.0,77,A-,1,Low
STU0053,0.7,70.0,45.0,0.9,0.75,0.375,0.2667,0.0,3,0.0,0.0,1.0,0.0,1.0,1.0,0.5,1.0,1.0,0.6667,1.0,0.3333,1.0,0.5,0.6667,1.0,67,B,1,Low
STU0054,0.4667,46.67,48.13,0.6,0.4167,0.375,0.4,0.0,5,0.0,1.0,0.0,0.0,0.5,1.0,0.5,1.0,1.0,0.0,0.0,0.3333,0.5,0.5,0.6667,1.0,46,C-,0,High
STU0055,0.3333,33.33,60.87,0.4,0.3333,0.25,0.4333,0.0,10,0.0,0.0,0.3333,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.3333,0.5,48,C-,0,High
STU0056,0.9333,93.33,37.0,1.0,1.0,0.75,0.0667,0.0,1,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6667,1.0,1.0,1.0,1.0,88,A+,1,Low
STU0057,0.7,70.0,44.17,0.9,0.6667,0.5,0.2667,0.0,1,0.0,0.0,0.6667,1.0,0.5,0.5,0.5,1.0,1.0,0.6667,1.0,0.6667,0.5,1.0,0.6667,1.0,71,B+,1,Low
STU0058,0.7,70.0,44.1,0.9,0.75,0.375,0.2667,0.0,3,0.0,1.0,0.6667,0.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.3333,0.0,1.0,0.6667,1.0,56,C+,1,Medium
STU0059,0.6667,66.67,45.73,0.6,0.8333,0.5,0.1,0.0,4,0.0,0.0,0.3333,0.5,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.3333,1.0,0.0,0.6667,1.0,69,B,1,Low
STU0060,0.7667,76.67,42.93,1.0,0.5833,0.75,0.2,0.0,2,0.0,1.0,0.6667,0.5,1.0,0.5,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.6667,1.0,77,A-,1,Low
