stu_no,q1_accuracy,q1_score_pct,q1_avg_time_sec,q1_easy_accuracy,q1_medium_accuracy,q1_hard_accuracy,q1_slow_wrong_ratio,q1_fast_wrong_ratio,q1_num_topics_below_50pct,q1_weakest_topic_score,q1_topic_Algorithm_Design,q1_topic_Arrays,q1_topic_Code_Tracing,q1_topic_Conditional_Statements,q1_topic_Data_Types,q1_topic_Debugging,q1_topic_Expressions,q1_topic_Flowcharts_and_Algorithms,q1_topic_Functions,q1_topic_Input_and_Output,q1_topic_Loops,q1_topic_Nested_Loops,q1_topic_Operators,q1_topic_Strings,q1_topic_Variables_and_Identifiers,q2_accuracy,q2_score_pct,q2_avg_time_sec,q2_easy_accuracy,q2_medium_accuracy,q2_hard_accuracy,q2_slow_wrong_ratio,q2_fast_wrong_ratio,q2_num_topics_below_50pct,q2_weakest_topic_score,q2_topic_Arrays_2D,q2_topic_Classes_and_Objects,q2_topic_Complexity_Analysis,q2_topic_Debugging_Advanced,q2_topic_Exception_Handling,q2_topic_File_Handling,q2_topic_Functions,q2_topic_Inheritance,q2_topic_Loops,q2_topic_OOP_Basics,q2_topic_Pointers_and_References,q2_topic_Recursion,q2_topic_Searching_Algorithms,q2_topic_Sorting_Algorithms,q2_topic_Strings_Advanced,q3_accuracy,q3_score_pct,q3_avg_time_sec,q3_easy_accuracy,q3_medium_accuracy,q3_hard_accuracy,q3_slow_wrong_ratio,q3_fast_wrong_ratio,q3_num_topics_below_50pct,q3_weakest_topic_score,q3_topic_Abstract_Classes,q3_topic_Algorithm_Patterns,q3_topic_Code_Optimisation,q3_topic_Debugging_Complex,q3_topic_Design_Patterns,q3_topic_Dynamic_Programming,q3_topic_Graphs_Basics,q3_topic_Interfaces,q3_topic_Linked_Lists,q3_topic_OOP_Advanced,q3_topic_Polymorphism,q3_topic_Problem_Decomposition,q3_topic_Stack_and_Queue,q3_topic_Testing_Basics,q3_topic_Trees_Basics,trend_q1_q2,trend_q2_q3,trend_q1_q3,final_mark,final_grade,passed,risk_label
STU0001,0.9333,93.33,38.4,1.0,0.8333,1.0,0.0333,0.0,0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.8667,86.67,72.93,1.0,0.7273,0.9286,0.1,0.0,1,0.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.0,0.5,1.0,1.0,1.0,0.8667,86.67,75.2,0.8,0.9091,0.8571,0.0333,0.0,0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.6667,1.0,1.0,0.5,0.5,1.0,1.0,-6.659999999999997,0.0,-6.659999999999997,90,A+,1,Low
STU0002,0.6333,63.33,44.57,0.7,0.5833,0.625,0.2667,0.0,3,0.0,1.0,0.3333,0.5,0.5,1.0,0.5,0.0,1.0,0.3333,1.0,0.6667,0.5,0.5,1.0,1.0,0.5667,56.67,78.53,0.6,0.5455,0.5714,0.2333,0.0,3,0.0,1.0,0.5,0.5,0.5,0.0,0.5,0.0,0.5,1.0,0.5,0.0,1.0,0.6667,0.6667,0.5,0.5,50.0,76.93,0.4,0.6364,0.4286,0.3,0.0,5,0.0,0.0,0.5,0.0,0.5,0.5,0.6667,1.0,0.0,0.6667,0.5,1.0,0.0,0.5,1.0,0.3333,-6.659999999999997,-6.670000000000002,-13.329999999999998,57,C+,1,Medium
STU0003,0.5667,56.67,46.47,0.6,0.5833,0.5,0.2333,0.0,5,0.0,0.0,0.3333,1.0,0.5,0.5,1.0,1.0,1.0,0.3333,1.0,0.6667,0.5,0.0,1.0,0.0,0.5667,56.67,73.27,0.4,0.5455,0.6429,0.2,0.0,4,0.0,1.0,1.0,0.0,0.5,0.0,0.5,0.5,0.5,0.5,0.0,1.0,0.0,0.6667,1.0,1.0,0.6667,66.67,77.0,0.8,0.8182,0.5,0.2333,0.0,3,0.0,1.0,0.5,1.0,1.0,0.5,0.6667,1.0,1.0,0.3333,0.0,1.0,0.5,0.5,0.0,1.0,0.0,10.0,10.0,51,C,1,Medium
STU0004,0.8333,83.33,42.9,0.9,0.9167,0.625,0.1667,0.0,1,0.3333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6667,0.5,1.0,0.3333,0.5,0.8,80.0,72.4,1.0,0.9091,0.6429,0.1,0.0,2,0.0,0.5,1.0,0.5,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9667,96.67,67.43,1.0,1.0,0.9286,0.0333,0.0,0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-3.3299999999999983,16.67,13.340000000000003,80,A,1,Low
STU0005,0.3,30.0,62.03,0.4,0.4167,0.0,0.3333,0.0,9,0.0,0.0,0.3333,0.0,0.0,1.0,0.0,1.0,0.0,0.3333,1.0,0.0,0.5,0.5,0.0,0.5,0.3333,33.33,74.7,0.4,0.2727,0.3571,0.2333,0.0,8,0.0,1.0,1.0,0.5,0.0,0.0,0.5,0.0,0.5,0.5,0.5,0.0,0.0,0.3333,0.0,0.0,0.6,60.0,71.63,0.4,0.8182,0.5,0.2,0.0,3,0.0,0.0,0.5,0.5,0.5,0.5,0.6667,0.5,0.0,0.6667,1.0,1.0,0.0,0.5,1.0,1.0,3.3299999999999983,26.67,30.0,44,D+,0,High
STU0006,0.8667,86.67,41.93,1.0,0.8333,0.75,0.0667,0.0,1,0.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.5,1.0,0.6667,1.0,0.8667,86.67,72.4,1.0,0.9091,0.7857,0.0667,0.0,1,0.0,0.5,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6667,1.0,0.5,0.7,70.0,71.37,0.6,0.7273,0.7143,0.1,0.0,3,0.0,1.0,1.0,1.0,1.0,0.0,0.3333,0.5,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.3333,0.0,-16.67,-16.67,78,A-,1,Low
STU0007,0.9333,93.33,35.37,1.0,1.0,0.75,0.0667,0.0,1,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.7,70.0,72.33,1.0,0.6364,0.6429,0.2,0.0,2,0.0,0.5,1.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.9333,93.33,71.63,1.0,0.9091,0.9286,0.0333,0.0,1,0.3333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333,-23.33,23.33,0.0,88,A+,1,Low
STU0008,0.3667,36.67,54.73,0.8,0.25,0.0,0.4667,0.0,8,0.0,0.0,0.3333,0.0,1.0,0.5,0.5,0.0,0.0,0.3333,1.0,0.6667,0.0,0.5,0.0,0.5,0.3,30.0,80.23,0.4,0.0909,0.4286,0.2667,0.0,7,0.0,0.5,0.5,0.5,0.0,0.0,0.5,1.0,0.5,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.6,60.0,80.13,0.6,0.5455,0.6429,0.1667,0.0,4,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.5,1.0,0.0,0.5,1.0,1.0,0.0,1.0,1.0,-6.670000000000002,30.0,23.33,41,D+,0,High
STU0009,0.4667,46.67,49.3,0.7,0.4167,0.25,0.3333,0.0,7,0.0,0.0,0.3333,0.5,0.5,1.0,1.0,0.0,0.0,0.6667,1.0,0.6667,0.0,0.0,0.0,1.0,0.4333,43.33,74.83,0.0,0.4545,0.5714,0.2667,0.0,5,0.0,0.5,0.5,1.0,0.0,1.0,0.5,0.0,0.5,0.5,0.5,0.0,0.5,0.6667,0.3333,0.0,0.4667,46.67,75.77,0.4,0.4545,0.5,0.2667,0.0,6,0.0,0.0,0.0,1.0,0.5,0.5,0.0,0.5,1.0,0.3333,1.0,0.0,1.0,0.5,1.0,0.3333,-3.3400000000000034,3.3400000000000034,0.0,42,D+,0,High
STU0010,0.9,90.0,37.77,0.9,0.9167,0.875,0.0667,0.0,0,0.5,1.0,1.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.7333,73.33,72.23,0.8,0.6364,0.7857,0.1,0.0,2,0.0,0.5,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.0,0.5,0.7667,76.67,76.83,0.8,0.8182,0.7143,0.1667,0.0,4,0.0,0.0,1.0,0.5,0.0,1.0,0.3333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,-16.67,3.3400000000000034,-13.329999999999998,81,A,1,Low
